  lambda       6528gla    6529gla    6530gla    6531gla    6532gla   6529glaSPMO
% absorb(nm)  --------   --------   --------   --------   --------   -----------
     470      0.672730   0.562000   1.236110   0.935252   0.371927     0.5321790
     471      0.669644   0.561255   1.236460   0.931258   0.370439     0.5344310
     472      0.666537   0.560101   1.236750   0.927751   0.369973     0.5316220
     473      0.663470   0.559918   1.236860   0.923590   0.367986     0.5335720
     474      0.661005   0.558879   1.236160   0.919350   0.366552     0.5329170
     475      0.657960   0.558716   1.236770   0.915802   0.365731     0.5291250
     476      0.654832   0.558238   1.236240   0.911716   0.364137     0.5326390
     477      0.651211   0.557342   1.236910   0.907326   0.363031     0.5332470
     478      0.647576   0.556926   1.237080   0.903388   0.362173     0.5336630
     479      0.644533   0.556474   1.236640   0.899258   0.360450     0.5338600
     480      0.641315   0.556702   1.236540   0.895707   0.359786     0.5347000
     481      0.638759   0.556067   1.236390   0.891217   0.357873     0.5347960
     482      0.635635   0.555873   1.236340   0.888078   0.357182     0.5368600
     483      0.632873   0.556309   1.236990   0.884013   0.356386     0.5373700
     484      0.629885   0.555367   1.236490   0.879810   0.354422     0.5399460
     485      0.627275   0.555083   1.236230   0.875805   0.353718     0.5389300
     486      0.623984   0.554808   1.236530   0.872032   0.352283     0.5441530
     487      0.621656   0.555152   1.236160   0.868003   0.350799     0.5432010
     488      0.618319   0.554393   1.235950   0.863910   0.350294     0.5464110
     489      0.615466   0.555054   1.236340   0.860380   0.349432     0.5465340
     490      0.612478   0.554611   1.236310   0.856103   0.348478     0.5483610
     491      0.609865   0.554892   1.236600   0.852408   0.347668     0.5474340
     492      0.606576   0.554468   1.235930   0.847744   0.346193     0.5454780
     493      0.604049   0.554438   1.236160   0.843783   0.345201     0.5496720
     494      0.600944   0.553888   1.236600   0.840223   0.344681     0.5503840
     495      0.598743   0.554842   1.236190   0.835730   0.343460     0.5478520
     496      0.596942   0.553805   1.235750   0.833012   0.342669     0.5492280
     497      0.594118   0.553686   1.235060   0.827941   0.341233     0.5499340
     498      0.591083   0.553935   1.235930   0.823873   0.340453     0.5505090
     499      0.588335   0.554000   1.235250   0.819722   0.339227     0.5504720
     500      0.585595   0.553745   1.234480   0.815129   0.338168     0.5521450
     501      0.583087   0.553540   1.234650   0.810306   0.337033     0.5524640
     502      0.580195   0.553728   1.234620   0.806365   0.336070     0.5520940
     503      0.577627   0.553688   1.233990   0.802240   0.335323     0.5534880
     504      0.574965   0.553674   1.234280   0.797790   0.334362     0.5539580
     505      0.572738   0.554650   1.233600   0.793387   0.333177     0.5550890
     506      0.570634   0.554137   1.233320   0.789139   0.332318     0.5566750
     507      0.567723   0.554378   1.233320   0.785143   0.331414     0.5571520
     508      0.565317   0.555111   1.231880   0.780732   0.330136     0.5581780
     509      0.563123   0.555099   1.232200   0.777105   0.329755     0.5588170
     510      0.560987   0.555774   1.232280   0.773115   0.328808     0.5616880
     511      0.558641   0.556277   1.231850   0.769504   0.328459     0.5615080
     512      0.556717   0.556277   1.231290   0.765627   0.327496     0.5601060
     513      0.555047   0.556287   1.231420   0.761374   0.325999     0.5608660
     514      0.553198   0.557065   1.230950   0.758367   0.325850     0.5624370
     515      0.551483   0.557268   1.230700   0.754415   0.325000     0.5653950
     516      0.549560   0.556790   1.230560   0.750770   0.324281     0.5625650
     517      0.547666   0.557291   1.230180   0.746513   0.323118     0.5621520
     518      0.545635   0.557006   1.230030   0.742916   0.322496     0.5661370
     519      0.543935   0.557627   1.230320   0.739460   0.322024     0.5664030
     520      0.542069   0.557836   1.229890   0.735784   0.321476     0.5665050
     521      0.540951   0.557811   1.229250   0.732790   0.320773     0.5648730
     522      0.539139   0.558467   1.228860   0.729553   0.319632     0.5670450
     523      0.537453   0.558129   1.228610   0.725823   0.319131     0.5626360
     524      0.536483   0.558855   1.227690   0.722429   0.318129     0.5626410
     525      0.534824   0.558705   1.228270   0.719671   0.317896     0.5637930
     526      0.533807   0.558381   1.227640   0.716861   0.317627     0.5613470
     527      0.532670   0.557344   1.227130   0.713143   0.316785     0.5573570
     528      0.531198   0.557770   1.226420   0.709735   0.315909     0.5559700
     529      0.529810   0.557284   1.226140   0.707035   0.315276     0.5561300
     530      0.528905   0.556898   1.225350   0.703398   0.314398     0.5553560
     531      0.527376   0.556080   1.224870   0.700377   0.314072     0.5572760
     532      0.526348   0.555444   1.223910   0.697306   0.313613     0.5558510
     533      0.525594   0.554484   1.223030   0.694266   0.312453     0.5561730
     534      0.524344   0.553479   1.222680   0.691336   0.312132     0.5552990
     535      0.523088   0.553338   1.222190   0.689352   0.312015     0.5558250
     536      0.522833   0.552059   1.221210   0.686020   0.310752     0.5552500
     537      0.521914   0.550941   1.220490   0.683137   0.309993     0.5550660
     538      0.521261   0.549345   1.219710   0.680237   0.309417     0.5503160
     539      0.520570   0.548470   1.218570   0.677390   0.308678     0.5505400
     540      0.518895   0.545873   1.216760   0.673951   0.307768     0.5491250
     541      0.518697   0.544054   1.215780   0.671544   0.306949     0.5474320
     542      0.518021   0.542876   1.215230   0.668561   0.306651     0.5471950
     543      0.517479   0.540491   1.213670   0.665847   0.306124     0.5433080
     544      0.517534   0.538921   1.213530   0.663609   0.305590     0.5404200
     545      0.516778   0.536758   1.211760   0.660449   0.305022     0.5378270
     546      0.516549   0.535323   1.211130   0.658168   0.304542     0.5355740
     547      0.516052   0.533493   1.209620   0.655451   0.303403     0.5358120
     548      0.515792   0.532187   1.208780   0.652703   0.302966     0.5305990
     549      0.515752   0.529568   1.208190   0.650400   0.302817     0.5305570
     550      0.515467   0.527709   1.206700   0.647687   0.301643     0.5297990
     551      0.515477   0.526082   1.206100   0.645842   0.301990     0.5274080
     552      0.515900   0.524439   1.204920   0.643325   0.300905     0.5251480
     553      0.515698   0.523138   1.203500   0.640584   0.300151     0.5221720
     554      0.515798   0.521854   1.202930   0.638504   0.299780     0.5222910
     555      0.516138   0.521062   1.201700   0.636044   0.299470     0.5215460
     556      0.516368   0.519894   1.200210   0.633316   0.298236     0.5221290
     557      0.517028   0.519715   1.198680   0.630591   0.298018     0.5188820
     558      0.517285   0.518924   1.197570   0.628218   0.297272     0.5182820
     559      0.517980   0.519097   1.196140   0.625722   0.296210     0.5184520
     560      0.518310   0.519055   1.195490   0.623548   0.295655     0.5172320
     561      0.518965   0.519175   1.194190   0.620963   0.294964     0.5194660
     562      0.519649   0.519551   1.193750   0.618740   0.294551     0.5206040
     563      0.520267   0.520185   1.191290   0.615877   0.293121     0.5205920
     564      0.520406   0.521136   1.190890   0.613899   0.293306     0.5215030
     565      0.521597   0.522388   1.189190   0.611612   0.292580     0.5234350
     566      0.521533   0.523605   1.188890   0.609519   0.292212     0.5239980
     567      0.522450   0.524955   1.187140   0.607402   0.291649     0.5260000
     568      0.523431   0.526999   1.185940   0.605005   0.290805     0.5275980
     569      0.524542   0.528307   1.183980   0.602889   0.290538     0.5300410
     570      0.525410   0.530811   1.183100   0.600819   0.290192     0.5351630
     571      0.526875   0.532731   1.182020   0.598798   0.289474     0.5392460
     572      0.527250   0.535277   1.180470   0.596319   0.288824     0.5421720
     573      0.528370   0.537585   1.178890   0.593978   0.288579     0.5430590
     574      0.530318   0.540510   1.177910   0.591792   0.287971     0.5465730
     575      0.531126   0.541578   1.177270   0.590484   0.287666     0.5492030
     576      0.531968   0.544572   1.175770   0.588122   0.286884     0.5523170
     577      0.533373   0.547550   1.174410   0.586403   0.286276     0.5559420
     578      0.534479   0.550426   1.173010   0.584346   0.285510     0.5606050
     579      0.536055   0.553183   1.171740   0.582151   0.285088     0.5641830
     580      0.537394   0.556109   1.169750   0.579986   0.284688     0.5680680
     581      0.538888   0.559465   1.168980   0.578295   0.284155     0.5714780
     582      0.540409   0.562103   1.167150   0.575882   0.283831     0.5755520
     583      0.541787   0.565613   1.165870   0.574247   0.283480     0.5789210
     584      0.543746   0.568371   1.163680   0.571265   0.281785     0.5850520
     585      0.545258   0.571328   1.163530   0.570150   0.282099     0.5867960
     586      0.546918   0.574085   1.161600   0.568453   0.281443     0.5917780
     587      0.548207   0.576952   1.160350   0.566304   0.280748     0.5962990
     588      0.550440   0.578431   1.158830   0.565307   0.280624     0.6033630
     589      0.551664   0.580631   1.157330   0.562840   0.279802     0.6050570
     590      0.553584   0.583029   1.155830   0.561576   0.279804     0.6056000
     591      0.555224   0.584303   1.154540   0.560041   0.279249     0.6045970
     592      0.556915   0.585439   1.152900   0.558203   0.278392     0.6081580
     593      0.558039   0.586596   1.152180   0.556584   0.278323     0.6061870
     594      0.560406   0.587701   1.150600   0.555409   0.277772     0.6076280
     595      0.562360   0.588538   1.148850   0.553657   0.277563     0.6084700
     596      0.564414   0.589515   1.147120   0.552123   0.276860     0.6086640
     597      0.565757   0.589058   1.145670   0.550557   0.276699     0.6096690
     598      0.567351   0.589323   1.144080   0.548907   0.276054     0.6075210
     599      0.569351   0.589112   1.143440   0.547779   0.275760     0.6083910
     600      0.570596   0.588855   1.141300   0.546259   0.275560     0.6080460
     601      0.572635   0.588561   1.139960   0.545076   0.274571     0.6067590
     602      0.574266   0.588539   1.138850   0.544063   0.274843     0.6093870
     603      0.576016   0.587693   1.137800   0.542691   0.274749     0.6087300
     604      0.577804   0.587725   1.135670   0.541345   0.274162     0.6077040
     605      0.580186   0.586903   1.134360   0.540254   0.273754     0.6062510
     606      0.581273   0.586686   1.132670   0.538826   0.273368     0.6067320
     607      0.583405   0.586124   1.131320   0.537877   0.273266     0.6039200
     608      0.585187   0.585866   1.129990   0.536443   0.272937     0.6006350
     609      0.587216   0.585736   1.128310   0.535100   0.272112     0.6001970
