  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     535      0.356634   0.496588   0.356776   0.469032   0.493524
     536      0.355883   0.495190   0.355920   0.467806   0.492798
     537      0.354105   0.492055   0.354266   0.465604   0.490699
     538      0.352660   0.489933   0.352851   0.463432   0.488657
     539      0.351935   0.487347   0.351591   0.462282   0.487376
     540      0.349724   0.484565   0.350326   0.459582   0.485618
     541      0.348866   0.482114   0.349065   0.457783   0.483879
     542      0.347009   0.478744   0.347222   0.455110   0.481714
     543      0.345719   0.476562   0.345898   0.452908   0.480598
     544      0.344166   0.472915   0.344285   0.450592   0.478181
     545      0.342012   0.469902   0.342954   0.448434   0.476384
     546      0.341118   0.466416   0.341199   0.445606   0.474456
     547      0.338598   0.463191   0.339310   0.442941   0.472027
     548      0.337687   0.460654   0.338514   0.440919   0.470605
     549      0.336042   0.457354   0.337029   0.438644   0.468800
     550      0.334506   0.453813   0.335853   0.436198   0.467341
     551      0.332857   0.450656   0.334228   0.433791   0.465174
     552      0.331025   0.447326   0.332826   0.430969   0.462999
     553      0.329225   0.443644   0.331100   0.428296   0.460911
     554      0.327374   0.439897   0.329327   0.425597   0.458576
     555      0.325658   0.436701   0.328110   0.422925   0.456685
     556      0.322867   0.432121   0.325604   0.419342   0.453526
     557      0.320771   0.427642   0.323341   0.416063   0.451028
     558      0.319545   0.424205   0.322157   0.413791   0.449060
     559      0.317908   0.420977   0.320919   0.411286   0.447606
     560      0.316439   0.417100   0.319631   0.409161   0.445318
     561      0.314390   0.413105   0.317594   0.406019   0.442563
     562      0.312419   0.409126   0.315670   0.403241   0.440394
     563      0.310404   0.405962   0.314238   0.400679   0.438036
     564      0.308697   0.401766   0.312610   0.398032   0.436193
     565      0.306500   0.398070   0.310773   0.395082   0.433284
     566      0.305250   0.394160   0.309505   0.392796   0.431515
     567      0.302767   0.389675   0.307362   0.389689   0.428367
     568      0.301146   0.386326   0.305955   0.387623   0.426692
     569      0.299004   0.382237   0.303702   0.384418   0.423951
     570      0.298038   0.378913   0.302163   0.381920   0.422535
     571      0.295775   0.374781   0.300362   0.379076   0.420057
     572      0.294108   0.371116   0.298720   0.376430   0.418022
     573      0.292499   0.367778   0.297614   0.374514   0.416136
     574      0.290764   0.363534   0.295690   0.371702   0.413267
     575      0.289203   0.360550   0.294339   0.369078   0.411406
     576      0.287982   0.357925   0.293268   0.367593   0.410086
     577      0.285653   0.353648   0.291443   0.364553   0.407046
     578      0.283858   0.349878   0.289441   0.361989   0.404964
     579      0.282636   0.347026   0.288516   0.359876   0.403174
     580      0.280319   0.342783   0.286661   0.356958   0.400778
     581      0.278462   0.339349   0.284770   0.354289   0.398513
     582      0.277046   0.335767   0.283149   0.351915   0.396269
     583      0.275583   0.332859   0.281827   0.349742   0.394327
     584      0.273661   0.329195   0.279937   0.347488   0.392180
     585      0.272274   0.326119   0.278969   0.345068   0.390160
     586      0.271337   0.323748   0.278011   0.343658   0.388894
     587      0.269723   0.320531   0.276146   0.340988   0.386529
     588      0.268510   0.317907   0.275234   0.338956   0.384644
     589      0.267657   0.315894   0.274345   0.337838   0.383609
     590      0.265822   0.312437   0.272787   0.335235   0.381155
     591      0.264608   0.309936   0.271776   0.333189   0.379906
     592      0.263451   0.307582   0.270553   0.331541   0.378191
     593      0.262371   0.305168   0.269253   0.330001   0.376878
     594      0.261103   0.303262   0.268239   0.328224   0.375283
     595      0.259858   0.300576   0.266866   0.325774   0.373278
     596      0.258628   0.298171   0.265745   0.324429   0.371812
     597      0.258612   0.296877   0.265455   0.323545   0.371398
     598      0.257321   0.294742   0.264253   0.321937   0.369894
     599      0.256639   0.293281   0.263484   0.320309   0.368703
     600      0.255698   0.291589   0.262691   0.319438   0.367667
     601      0.254877   0.289864   0.261892   0.318095   0.366594
     602      0.254221   0.288254   0.261431   0.316875   0.365464
     603      0.253855   0.286931   0.260812   0.315781   0.364464
     604      0.252830   0.285243   0.259762   0.314744   0.363202
     605      0.252143   0.283833   0.259017   0.313299   0.362547
     606      0.251458   0.282566   0.258690   0.312447   0.361282
     607      0.250840   0.281369   0.257592   0.311041   0.360520
     608      0.250450   0.280240   0.257431   0.310470   0.359731
     609      0.248913   0.278304   0.256134   0.308697   0.358308
     610      0.247722   0.276593   0.254714   0.307121   0.356687
     611      0.248100   0.275831   0.254949   0.306914   0.356568
     612      0.247352   0.274431   0.254046   0.305714   0.355412
     613      0.246740   0.273452   0.253184   0.304502   0.354806
     614      0.245993   0.272369   0.252731   0.303535   0.353805
     615      0.246315   0.271933   0.252729   0.303329   0.353864
     616      0.245286   0.270661   0.251945   0.302511   0.352531
     617      0.245430   0.270453   0.251721   0.301735   0.352426
     618      0.244670   0.269219   0.251091   0.300457   0.351734
     619      0.244159   0.267749   0.250152   0.299608   0.350504
     620      0.243347   0.266915   0.249864   0.298492   0.349715
     621      0.242928   0.266126   0.249084   0.298038   0.348865
     622      0.242325   0.265249   0.248747   0.297288   0.348676
     623      0.241927   0.264355   0.248210   0.296281   0.347335
     624      0.241717   0.263435   0.247548   0.295477   0.346593
     625      0.241097   0.262879   0.247105   0.295228   0.346320
     626      0.241011   0.262219   0.246773   0.294338   0.345459
     627      0.240459   0.261278   0.246295   0.293624   0.344942
     628      0.240187   0.260350   0.245771   0.292583   0.344210
     629      0.239618   0.259936   0.245315   0.292091   0.343776
     630      0.239297   0.259210   0.244999   0.291289   0.342636
     631      0.238721   0.258300   0.244061   0.290314   0.342124
     632      0.238477   0.257818   0.243978   0.290050   0.341710
